No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi
62,D445,Cycle/S4/cycle/off/05,500,2024-04-27T16:45:15.053903,Cycle,1
63,D443,Cycle/S4/cycle/off/06,250,2024-04-27T16:45:15.079034,Cycle,1
64,D447,Cycle/S4/cycle/off/07,900,2024-04-27T16:45:15.116790,Cycle,1
69,M88,S1_BOTTOM_CAP_MISSING_TR3,0,2024-04-27T16:45:15.163203,Alarm,1
65,D447,Cycle/S4/cycle/off/08,900,2024-04-27T16:45:15.263248,Cycle,1
70,M89,S3_SILICON_PRESENCE_MISSING_TR3,0,2024-04-27T16:45:15.299658,Alarm,1
71,M90,S5_COVER_PRESENCE_MISSING_TR3,0,2024-04-27T16:45:15.319460,Alarm,1
66,D449,Cycle/S4/cycle/off/09,0,2024-04-27T16:45:15.395612,Cycle,1
72,M91,S8_HEIGHT_CHK_MISSING_TR3,0,2024-04-27T16:45:15.440722,Alarm,1
73,M92,S1_BOTTOM_CAP_MISSING_TR4,0,2024-04-27T16:45:15.466560,Alarm,1
74,M93,S3_SILICON_PRESENCE_MISSING_TR4,0,2024-04-27T16:45:15.494092,Alarm,1
67,D450,Cycle/S4/cycle/off/10,0,2024-04-27T16:45:15.560836,Cycle,1
75,M94,S5_COVER_PRESENCE_MISSING_TR4,0,2024-04-27T16:45:15.638315,Alarm,1
68,D251,Cycle/S5/cycle/on/00,300,2024-04-27T16:45:15.695588,Cycle,1
76,M95,S9_HEIGHT_CHK_MC_TR4,0,2024-04-27T16:45:15.756640,Alarm,1
69,D252,Cycle/S5/cycle/on/01,760,2024-04-27T16:45:15.809244,Cycle,1
77,M131,S7_WELDING_CHK_MISSING_TR1_,0,2024-04-27T16:45:15.869942,Alarm,1
70,D304,Cycle/S5/cycle/on/02,600,2024-04-27T16:45:15.916937,Cycle,1
78,M132,S7_WELDING_CHK_MISSING_TR3,0,2024-04-27T16:45:15.978326,Alarm,1
71,D451,Cycle/S5/cycle/off/00,350,2024-04-27T16:45:16.024804,Cycle,1
79,M133,S6_WELDING_CHK_MISSING_TR2,0,2024-04-27T16:45:16.086083,Alarm,1
72,D452,Cycle/S5/cycle/off/01,900,2024-04-27T16:45:16.133037,Cycle,1
73,D504,Cycle/S5/cycle/off/02,750,2024-04-27T16:45:16.155347,Cycle,1
80,M134,S6_WELDING_CHK_MISSING_TR4,0,2024-04-27T16:45:16.203686,Alarm,1
74,D253,Cycle/S6/cycle/on/00,250,2024-04-27T16:45:16.297842,Cycle,1
81,M115,S10_LEAK_TEST_MISS_TR1,0,2024-04-27T16:45:16.351687,Alarm,1
75,D282,Cycle/S6/cycle/on/01,350,2024-04-27T16:45:16.409915,Cycle,1
82,M51,S10_LEAK_TEST_MISS_TR2,0,2024-04-27T16:45:16.454433,Alarm,1
76,D255,Cycle/S6/cycle/on/02,400,2024-04-27T16:45:16.517540,Cycle,1
83,M116,S10_LEAK_TEST_MISS_TR3,0,2024-04-27T16:45:16.562331,Alarm,1
77,D275,Cycle/S6/cycle/on/03,450,2024-04-27T16:45:16.628060,Cycle,1
84,M117,S10_LEAK_TEST_MISS_TR4,0,2024-04-27T16:45:16.680828,Alarm,1
78,D281,Cycle/S6/cycle/on/04,850,2024-04-27T16:45:16.749800,Cycle,1
